user_id,is_churn,churn_probability_latent,cancellation_reason
SPOT-100000,0,0.4593,Active
SPOT-100001,0,0.5295,Active
SPOT-100002,1,0.6511,Switched to Competitor
SPOT-100003,0,0.2829,Active
SPOT-100004,0,0.1901,Active
SPOT-100005,0,0.5544,Active
SPOT-100006,0,0.2199,Active
SPOT-100007,0,0.394,Active
SPOT-100008,1,0.6155,Low Usage / No Time
SPOT-100009,0,0.2882,Active
SPOT-100010,0,0.2754,Active
SPOT-100011,1,0.6251,Price / Cost
SPOT-100012,0,0.3531,Active
SPOT-100013,0,0.4286,Active
SPOT-100014,0,0.2512,Active
SPOT-100015,0,0.3385,Active
SPOT-100016,1,0.6031,Price / Cost
SPOT-100017,0,0.3771,Active
SPOT-100018,1,0.6881,Switched to Competitor
SPOT-100019,0,0.457,Active
SPOT-100020,1,0.6427,Too Many Ads
SPOT-100021,1,0.5751,Price / Cost
SPOT-100022,0,0.368,Active
SPOT-100023,0,0.3395,Active
SPOT-100024,0,0.2365,Active
SPOT-100025,0,0.3727,Active
SPOT-100026,0,0.3424,Active
SPOT-100027,0,0.4677,Active
SPOT-100028,1,0.6575,Price / Cost
SPOT-100029,0,0.5251,Active
SPOT-100030,0,0.5458,Active
SPOT-100031,1,0.5734,Switched to Competitor
SPOT-100032,0,0.3388,Active
SPOT-100033,1,0.5774,Switched to Competitor
SPOT-100034,1,0.591,Too Many Ads
SPOT-100035,1,0.5775,Price / Cost
SPOT-100036,1,0.5904,Price / Cost
SPOT-100037,0,0.5247,Active
SPOT-100038,0,0.4127,Active
SPOT-100039,0,0.4268,Active
SPOT-100040,1,0.7001,Low Usage / No Time
SPOT-100041,1,0.681,Switched to Competitor
SPOT-100042,0,0.145,Active
SPOT-100043,1,0.6541,Too Many Ads
SPOT-100044,0,0.2991,Active
SPOT-100045,1,0.5942,Too Many Ads
SPOT-100046,0,0.4828,Active
SPOT-100047,0,0.4758,Active
SPOT-100048,0,0.285,Active
SPOT-100049,0,0.3756,Active
SPOT-100050,0,0.4018,Active
SPOT-100051,0,0.397,Active
SPOT-100052,0,0.3044,Active
SPOT-100053,0,0.3578,Active
SPOT-100054,0,0.4698,Active
SPOT-100055,0,0.3559,Active
SPOT-100056,0,0.4168,Active
SPOT-100057,0,0.5645,Active
SPOT-100058,0,0.4508,Active
SPOT-100059,1,0.7177,Switched to Competitor
SPOT-100060,0,0.414,Active
SPOT-100061,1,0.6902,Switched to Competitor
SPOT-100062,0,0.318,Active
SPOT-100063,0,0.4331,Active
SPOT-100064,0,0.3431,Active
