user_id,preferred_device,avg_daily_listening_hours,avg_daily_tracks,avg_daily_skips,skip_rate,weekly_ads_listened,podcast_share,playlists_created,active_days_last_30d
SPOT-100000,Mobile,1.61,29,3,0.1105,50,0.695,2,21
SPOT-100001,Mobile,3.44,61,11,0.1807,0,0.133,1,24
SPOT-100002,Mobile,1.69,30,12,0.4119,53,0.152,4,10
SPOT-100003,Desktop,4.84,87,18,0.2146,0,0.039,6,19
SPOT-100004,Mobile,4.32,77,2,0.0327,0,0.73,8,20
SPOT-100005,Smart Speaker,3.58,64,25,0.3916,0,0.172,1,24
SPOT-100006,Mobile,6.16,110,17,0.1611,0,0.483,4,21
SPOT-100007,Mobile,2.21,39,8,0.2279,69,0.342,1,23
SPOT-100008,Mobile,0.86,15,11,0.7424,27,0.079,2,7
SPOT-100009,Mobile,3.91,70,9,0.1317,0,0.188,7,25
SPOT-100010,Mobile,2.97,53,8,0.1583,0,0.331,4,27
SPOT-100011,Desktop,0.67,12,5,0.4899,21,0.119,2,12
SPOT-100012,Mobile,2.53,45,18,0.41,0,0.049,9,21
SPOT-100013,Mobile,0.67,12,0,0.0294,0,0.286,5,24
SPOT-100014,Mobile,3.35,60,7,0.1332,0,0.08,11,24
SPOT-100015,Smart Speaker,1.57,28,7,0.2829,0,0.488,1,24
SPOT-100016,Mobile,0.75,13,2,0.1681,23,0.113,2,7
SPOT-100017,Connected Car,1.78,32,10,0.3307,0,0.72,3,27
SPOT-100018,Mobile,3.53,63,44,0.7049,111,0.384,0,9
SPOT-100019,Smart Speaker,0.91,16,1,0.0927,28,0.268,2,22
SPOT-100020,Connected Car,1.28,23,4,0.2067,40,0.269,2,16
SPOT-100021,Mobile,1.49,26,5,0.2228,46,0.51,1,15
SPOT-100022,Mobile,2.98,53,27,0.5188,0,0.046,9,20
SPOT-100023,Mobile,1.87,33,11,0.3446,0,0.129,6,24
SPOT-100024,Smart Speaker,3.78,67,21,0.3261,0,0.242,12,25
SPOT-100025,Mobile,2.05,36,20,0.579,64,0.058,1,23
SPOT-100026,Desktop,3.76,67,11,0.1714,118,0.326,2,21
SPOT-100027,Mobile,1.51,27,9,0.357,47,0.346,2,18
SPOT-100028,Mobile,4.02,72,28,0.3898,126,0.452,0,12
SPOT-100029,Mobile,1.4,25,3,0.139,43,0.152,2,21
SPOT-100030,Web Player,3.77,67,39,0.5842,118,0.321,3,25
SPOT-100031,Mobile,1.2,21,7,0.3504,37,0.412,2,7
SPOT-100032,Smart Speaker,2.0,35,4,0.1356,0,0.171,4,21
SPOT-100033,Mobile,0.26,4,0,0.2026,8,0.24,0,11
SPOT-100034,Desktop,0.9,16,7,0.4836,28,0.038,2,12
SPOT-100035,Desktop,1.46,26,9,0.3538,45,0.118,2,13
SPOT-100036,Mobile,2.79,50,1,0.0323,88,0.362,3,14
SPOT-100037,Mobile,1.53,27,11,0.4257,48,0.111,3,21
SPOT-100038,Mobile,2.65,47,8,0.1802,0,0.669,5,22
SPOT-100039,Mobile,1.3,23,8,0.3539,40,0.259,0,25
SPOT-100040,Mobile,1.25,22,12,0.5841,39,0.036,0,10
SPOT-100041,Mobile,0.78,14,6,0.4793,24,0.133,0,8
SPOT-100042,Mobile,5.65,101,21,0.2113,0,0.286,6,21
SPOT-100043,Smart Speaker,0.69,12,4,0.3377,21,0.08,1,13
SPOT-100044,Mobile,2.46,44,19,0.4322,0,0.235,7,25
SPOT-100045,Smart Speaker,2.23,40,7,0.1803,70,0.414,1,6
SPOT-100046,Mobile,1.27,22,6,0.3004,0,0.8,6,25
SPOT-100047,Mobile,0.69,12,1,0.1265,0,0.181,2,18
SPOT-100048,Mobile,5.84,105,11,0.105,0,0.452,2,22
SPOT-100049,Mobile,1.93,34,11,0.3329,60,0.189,4,25
SPOT-100050,Mobile,3.66,65,12,0.1882,0,0.199,4,19
SPOT-100051,Smart Speaker,1.01,18,5,0.33,0,0.497,9,19
SPOT-100052,Smart Speaker,4.73,85,11,0.1308,0,0.128,2,24
SPOT-100053,Desktop,3.21,57,17,0.3008,0,0.315,4,24
SPOT-100054,Mobile,0.87,15,4,0.2889,27,0.093,2,24
SPOT-100055,Smart Speaker,4.08,73,8,0.1124,0,0.214,11,19
SPOT-100056,Mobile,4.81,86,20,0.2384,151,0.492,4,20
SPOT-100057,Mobile,1.13,20,7,0.3641,35,0.576,1,23
SPOT-100058,Mobile,2.98,53,12,0.2298,0,0.5,5,16
SPOT-100059,Mobile,0.73,13,7,0.6049,23,0.021,1,12
SPOT-100060,Desktop,1.65,29,3,0.1203,0,0.087,7,22
SPOT-100061,Connected Car,0.23,4,2,0.6246,7,0.201,0,9
SPOT-100062,Mobile,1.38,24,1,0.0566,0,0.468,9,22
SPOT-100063,Mobile,3.32,59,23,0.3899,0,0.157,9,21
SPOT-100064,Smart Speaker,2.84,51,22,0.4367,0,0.151,7,23
SPOT-100065,Desktop,0.55,9,4,0.4757,0,0.158,6,21
SPOT-100066,Mobile,1.98,35,19,0.5692,62,0.201,4,10
SPOT-100067,Desktop,3.86,69,21,0.3143,0,0.361,6,20
SPOT-100068,Mobile,3.24,58,13,0.2379,0,0.502,3,21
SPOT-100069,Mobile,1.05,18,4,0.2379,0,0.566,4,24
SPOT-100070,Desktop,0.98,17,3,0.2142,30,0.21,1,20
SPOT-100071,Mobile,3.58,64,20,0.3202,0,0.22,10,23
SPOT-100072,Connected Car,3.44,61,10,0.1671,0,0.711,7,21
SPOT-100073,Web Player,1.6,28,5,0.2107,50,0.291,2,11
SPOT-100074,Desktop,0.89,15,4,0.3328,27,0.177,2,16
SPOT-100075,Desktop,3.96,71,7,0.1088,0,0.54,6,24
SPOT-100076,Mobile,2.28,41,7,0.1718,0,0.293,9,21
SPOT-100077,Mobile,7.32,131,55,0.4255,0,0.379,7,21
SPOT-100078,Mobile,4.59,82,16,0.2044,0,0.219,8,19
SPOT-100079,Mobile,0.18,3,1,0.478,5,0.39,1,8
SPOT-100080,Connected Car,2.33,41,9,0.2277,73,0.049,0,15
SPOT-100081,Mobile,1.91,34,5,0.1752,0,0.121,6,22
SPOT-100082,Desktop,6.69,120,78,0.6526,210,0.106,0,19
SPOT-100083,Mobile,1.59,28,18,0.6783,50,0.521,2,12
SPOT-100084,Desktop,0.73,13,7,0.5747,23,0.254,1,12
SPOT-100085,Mobile,1.08,19,5,0.3153,34,0.651,1,21
SPOT-100086,Connected Car,2.46,44,15,0.3577,77,0.364,9,23
SPOT-100087,Mobile,2.0,36,20,0.5563,63,0.121,0,13
SPOT-100088,Mobile,2.42,43,3,0.0819,76,0.432,0,22
SPOT-100089,Mobile,2.91,52,30,0.5928,91,0.154,5,25
SPOT-100090,Mobile,2.62,47,15,0.3206,82,0.081,2,18
SPOT-100091,Mobile,1.67,30,10,0.3388,0,0.149,7,21
SPOT-100092,Smart Speaker,1.88,33,19,0.578,0,0.126,2,22
SPOT-100093,Mobile,2.81,50,17,0.3472,0,0.196,3,24
SPOT-100094,Desktop,2.84,51,9,0.184,89,0.076,4,19
SPOT-100095,Mobile,3.97,71,6,0.097,0,0.053,5,25
SPOT-100096,Mobile,3.36,60,8,0.1453,0,0.25,4,22
SPOT-100097,Mobile,3.65,65,36,0.5656,115,0.409,5,20
SPOT-100098,Mobile,2.83,50,4,0.0843,0,0.282,5,18
SPOT-100099,Smart Speaker,3.43,61,25,0.4124,108,0.23,2,13
SPOT-100100,Mobile,3.45,62,16,0.2715,0,0.135,5,20
SPOT-100101,Mobile,3.91,70,9,0.1329,0,0.063,6,20
SPOT-100102,Mobile,6.45,116,19,0.1658,0,0.247,4,21
SPOT-100103,Mobile,1.76,31,20,0.6602,55,0.383,2,13
SPOT-100104,Mobile,5.1,91,17,0.1936,0,0.461,5,23
SPOT-100105,Desktop,1.97,35,10,0.2931,61,0.037,3,24
SPOT-100106,Desktop,7.0,126,29,0.2344,0,0.587,3,24
SPOT-100107,Mobile,1.16,20,7,0.3985,0,0.15,3,23
SPOT-100108,Mobile,0.72,12,1,0.1045,0,0.017,5,18
SPOT-100109,Mobile,1.26,22,4,0.2081,39,0.553,2,11
