subscription_id,user_id,plan_type,monthly_fee,payment_method,auto_renew,tenure_months
SUB-200000,SPOT-100000,Free,0.0,None,0,19
SUB-200001,SPOT-100001,Premium Individual,10.99,PayPal,0,29
SUB-200002,SPOT-100002,Free,0.0,None,0,15
SUB-200003,SPOT-100003,Premium Family,17.99,Credit Card,0,29
SUB-200004,SPOT-100004,Premium Individual,10.99,Credit Card,1,21
SUB-200005,SPOT-100005,Premium Duo,14.99,Credit Card,0,18
SUB-200006,SPOT-100006,Premium Family,17.99,Credit Card,1,29
SUB-200007,SPOT-100007,Free,0.0,None,0,26
SUB-200008,SPOT-100008,Free,0.0,None,0,14
SUB-200009,SPOT-100009,Premium Duo,14.99,Gift Card,1,4
SUB-200010,SPOT-100010,Premium Duo,14.99,PayPal,1,31
SUB-200011,SPOT-100011,Free,0.0,None,0,30
SUB-200012,SPOT-100012,Premium Family,17.99,Gift Card,1,27
SUB-200013,SPOT-100013,Premium Individual,10.99,Credit Card,1,18
SUB-200014,SPOT-100014,Premium Individual,10.99,PayPal,1,12
SUB-200015,SPOT-100015,Premium Duo,14.99,Credit Card,1,7
SUB-200016,SPOT-100016,Free,0.0,None,0,7
SUB-200017,SPOT-100017,Premium Individual,10.99,Credit Card,1,26
SUB-200018,SPOT-100018,Free,0.0,None,0,20
SUB-200019,SPOT-100019,Free,0.0,None,0,2
SUB-200020,SPOT-100020,Free,0.0,None,0,25
SUB-200021,SPOT-100021,Free,0.0,None,0,32
SUB-200022,SPOT-100022,Premium Individual,10.99,PayPal,1,25
SUB-200023,SPOT-100023,Premium Individual,10.99,Credit Card,1,13
SUB-200024,SPOT-100024,Premium Individual,10.99,Credit Card,1,32
SUB-200025,SPOT-100025,Free,0.0,None,0,32
SUB-200026,SPOT-100026,Free,0.0,None,0,28
SUB-200027,SPOT-100027,Free,0.0,None,0,27
SUB-200028,SPOT-100028,Free,0.0,None,0,20
SUB-200029,SPOT-100029,Free,0.0,None,0,28
SUB-200030,SPOT-100030,Free,0.0,None,0,8
SUB-200031,SPOT-100031,Free,0.0,None,0,2
SUB-200032,SPOT-100032,Premium Individual,10.99,Credit Card,1,28
SUB-200033,SPOT-100033,Free,0.0,None,0,25
SUB-200034,SPOT-100034,Free,0.0,None,0,18
SUB-200035,SPOT-100035,Free,0.0,None,0,11
SUB-200036,SPOT-100036,Free,0.0,None,0,22
SUB-200037,SPOT-100037,Free,0.0,None,0,11
SUB-200038,SPOT-100038,Premium Student,5.99,Carrier Billing,1,12
SUB-200039,SPOT-100039,Free,0.0,None,0,8
SUB-200040,SPOT-100040,Free,0.0,None,0,12
SUB-200041,SPOT-100041,Free,0.0,None,0,5
SUB-200042,SPOT-100042,Premium Family,17.99,PayPal,1,14
SUB-200043,SPOT-100043,Free,0.0,None,0,18
SUB-200044,SPOT-100044,Premium Family,17.99,Credit Card,1,32
SUB-200045,SPOT-100045,Free,0.0,None,0,30
SUB-200046,SPOT-100046,Premium Duo,14.99,PayPal,1,4
SUB-200047,SPOT-100047,Premium Individual,10.99,Credit Card,0,12
SUB-200048,SPOT-100048,Premium Individual,10.99,Credit Card,1,4
SUB-200049,SPOT-100049,Free,0.0,None,0,13
SUB-200050,SPOT-100050,Premium Duo,14.99,PayPal,1,14
SUB-200051,SPOT-100051,Premium Individual,10.99,PayPal,1,7
SUB-200052,SPOT-100052,Premium Individual,10.99,Credit Card,1,8
SUB-200053,SPOT-100053,Premium Individual,10.99,PayPal,0,21
SUB-200054,SPOT-100054,Free,0.0,None,0,2
SUB-200055,SPOT-100055,Premium Duo,14.99,Credit Card,0,22
SUB-200056,SPOT-100056,Free,0.0,None,0,13
SUB-200057,SPOT-100057,Free,0.0,None,0,13
SUB-200058,SPOT-100058,Premium Individual,10.99,Carrier Billing,1,19
SUB-200059,SPOT-100059,Free,0.0,None,0,16
SUB-200060,SPOT-100060,Premium Family,17.99,Credit Card,1,5
SUB-200061,SPOT-100061,Free,0.0,None,0,29
SUB-200062,SPOT-100062,Premium Individual,10.99,Credit Card,1,14
SUB-200063,SPOT-100063,Premium Individual,10.99,PayPal,1,27
SUB-200064,SPOT-100064,Premium Individual,10.99,Credit Card,1,18
SUB-200065,SPOT-100065,Premium Individual,10.99,Credit Card,1,5
SUB-200066,SPOT-100066,Free,0.0,None,0,11
SUB-200067,SPOT-100067,Premium Family,17.99,PayPal,1,27
SUB-200068,SPOT-100068,Premium Duo,14.99,Credit Card,1,15
SUB-200069,SPOT-100069,Premium Individual,10.99,Credit Card,1,5
SUB-200070,SPOT-100070,Free,0.0,None,0,19
SUB-200071,SPOT-100071,Premium Duo,14.99,PayPal,1,7
SUB-200072,SPOT-100072,Premium Individual,10.99,PayPal,1,21
SUB-200073,SPOT-100073,Free,0.0,None,0,16
SUB-200074,SPOT-100074,Free,0.0,None,0,11
SUB-200075,SPOT-100075,Premium Individual,10.99,Carrier Billing,1,7
SUB-200076,SPOT-100076,Premium Individual,10.99,Credit Card,1,9
SUB-200077,SPOT-100077,Premium Individual,10.99,PayPal,1,33
SUB-200078,SPOT-100078,Premium Individual,10.99,PayPal,1,12
SUB-200079,SPOT-100079,Free,0.0,None,0,3
SUB-200080,SPOT-100080,Free,0.0,None,0,18
SUB-200081,SPOT-100081,Premium Individual,10.99,Credit Card,1,15
SUB-200082,SPOT-100082,Free,0.0,None,0,13
SUB-200083,SPOT-100083,Free,0.0,None,0,19
SUB-200084,SPOT-100084,Free,0.0,None,0,16
SUB-200085,SPOT-100085,Free,0.0,None,0,10
SUB-200086,SPOT-100086,Free,0.0,None,0,29
SUB-200087,SPOT-100087,Free,0.0,None,0,30
SUB-200088,SPOT-100088,Free,0.0,None,0,5
SUB-200089,SPOT-100089,Free,0.0,None,0,12
SUB-200090,SPOT-100090,Free,0.0,None,0,28
SUB-200091,SPOT-100091,Premium Duo,14.99,Credit Card,0,17
SUB-200092,SPOT-100092,Premium Individual,10.99,Credit Card,1,29
SUB-200093,SPOT-100093,Premium Individual,10.99,Carrier Billing,1,24
SUB-200094,SPOT-100094,Free,0.0,None,0,32
SUB-200095,SPOT-100095,Premium Duo,14.99,Credit Card,0,30
SUB-200096,SPOT-100096,Premium Duo,14.99,Credit Card,1,19
SUB-200097,SPOT-100097,Free,0.0,None,0,18
SUB-200098,SPOT-100098,Premium Student,5.99,Carrier Billing,1,11
SUB-200099,SPOT-100099,Free,0.0,None,0,10
SUB-200100,SPOT-100100,Premium Individual,10.99,PayPal,1,16
SUB-200101,SPOT-100101,Premium Duo,14.99,Credit Card,1,10
SUB-200102,SPOT-100102,Premium Family,17.99,PayPal,1,15
SUB-200103,SPOT-100103,Free,0.0,None,0,15
SUB-200104,SPOT-100104,Premium Family,17.99,Credit Card,1,30
SUB-200105,SPOT-100105,Free,0.0,None,0,12
SUB-200106,SPOT-100106,Premium Family,17.99,Gift Card,1,5
SUB-200107,SPOT-100107,Premium Student,5.99,Credit Card,1,6
SUB-200108,SPOT-100108,Premium Family,17.99,Credit Card,1,5
SUB-200109,SPOT-100109,Free,0.0,None,0,13
SUB-200110,SPOT-100110,Premium Family,17.99,Credit Card,1,6
SUB-200111,SPOT-100111,Premium Duo,14.99,PayPal,1,12
SUB-200112,SPOT-100112,Free,0.0,None,0,10
SUB-200113,SPOT-100113,Free,0.0,None,0,21
SUB-200114,SPOT-100114,Free,0.0,None,0,15
SUB-200115,SPOT-100115,Premium Individual,10.99,Credit Card,1,9
SUB-200116,SPOT-100116,Free,0.0,None,0,7
SUB-200117,SPOT-100117,Premium Individual,10.99,Credit Card,1,29
SUB-200118,SPOT-100118,Free,0.0,None,0,14
SUB-200119,SPOT-100119,Free,0.0,None,0,31
SUB-200120,SPOT-100120,Premium Individual,10.99,Credit Card,1,30
SUB-200121,SPOT-100121,Premium Individual,10.99,Credit Card,1,21
SUB-200122,SPOT-100122,Free,0.0,None,0,11
SUB-200123,SPOT-100123,Free,0.0,None,0,12
SUB-200124,SPOT-100124,Free,0.0,None,0,33
SUB-200125,SPOT-100125,Free,0.0,None,0,12
SUB-200126,SPOT-100126,Free,0.0,None,0,17
SUB-200127,SPOT-100127,Premium Student,5.99,Credit Card,1,27
SUB-200128,SPOT-100128,Free,0.0,None,0,23
SUB-200129,SPOT-100129,Free,0.0,None,0,25
SUB-200130,SPOT-100130,Premium Duo,14.99,Credit Card,1,16
SUB-200131,SPOT-100131,Free,0.0,None,0,12
SUB-200132,SPOT-100132,Free,0.0,None,0,7
SUB-200133,SPOT-100133,Premium Individual,10.99,Credit Card,1,10
SUB-200134,SPOT-100134,Premium Individual,10.99,PayPal,1,30
SUB-200135,SPOT-100135,Free,0.0,None,0,18
SUB-200136,SPOT-100136,Premium Individual,10.99,Credit Card,1,26
SUB-200137,SPOT-100137,Premium Individual,10.99,Carrier Billing,1,32
SUB-200138,SPOT-100138,Premium Individual,10.99,PayPal,1,28
SUB-200139,SPOT-100139,Premium Duo,14.99,PayPal,1,5
SUB-200140,SPOT-100140,Premium Family,17.99,Credit Card,1,4
SUB-200141,SPOT-100141,Premium Individual,10.99,PayPal,1,7
SUB-200142,SPOT-100142,Premium Family,17.99,PayPal,1,22
SUB-200143,SPOT-100143,Premium Individual,10.99,Credit Card,0,15
SUB-200144,SPOT-100144,Premium Individual,10.99,Carrier Billing,1,14
SUB-200145,SPOT-100145,Premium Duo,14.99,Gift Card,1,3
SUB-200146,SPOT-100146,Premium Family,17.99,Credit Card,1,10
SUB-200147,SPOT-100147,Premium Family,17.99,PayPal,1,7
SUB-200148,SPOT-100148,Premium Student,5.99,PayPal,1,28
SUB-200149,SPOT-100149,Premium Individual,10.99,Gift Card,1,23
SUB-200150,SPOT-100150,Free,0.0,None,0,3
SUB-200151,SPOT-100151,Premium Individual,10.99,Credit Card,1,18
SUB-200152,SPOT-100152,Premium Student,5.99,PayPal,0,27
SUB-200153,SPOT-100153,Free,0.0,None,0,25
SUB-200154,SPOT-100154,Free,0.0,None,0,29
SUB-200155,SPOT-100155,Free,0.0,None,0,32
SUB-200156,SPOT-100156,Premium Student,5.99,Credit Card,1,27
SUB-200157,SPOT-100157,Premium Individual,10.99,Credit Card,0,19
SUB-200158,SPOT-100158,Premium Individual,10.99,Gift Card,1,28
SUB-200159,SPOT-100159,Premium Family,17.99,PayPal,1,26
SUB-200160,SPOT-100160,Premium Individual,10.99,PayPal,1,21
SUB-200161,SPOT-100161,Premium Student,5.99,Gift Card,1,27
SUB-200162,SPOT-100162,Premium Individual,10.99,PayPal,1,13
SUB-200163,SPOT-100163,Premium Duo,14.99,Carrier Billing,1,10
SUB-200164,SPOT-100164,Premium Duo,14.99,Credit Card,1,21
SUB-200165,SPOT-100165,Premium Family,17.99,PayPal,1,8
SUB-200166,SPOT-100166,Free,0.0,None,0,13
SUB-200167,SPOT-100167,Free,0.0,None,0,7
SUB-200168,SPOT-100168,Premium Student,5.99,PayPal,1,24
SUB-200169,SPOT-100169,Premium Duo,14.99,Credit Card,1,23
SUB-200170,SPOT-100170,Free,0.0,None,0,6
SUB-200171,SPOT-100171,Free,0.0,None,0,7
SUB-200172,SPOT-100172,Premium Duo,14.99,Credit Card,0,6
SUB-200173,SPOT-100173,Premium Individual,10.99,Credit Card,1,26
SUB-200174,SPOT-100174,Premium Student,5.99,PayPal,1,26
SUB-200175,SPOT-100175,Premium Individual,10.99,PayPal,1,11
SUB-200176,SPOT-100176,Free,0.0,None,0,2
SUB-200177,SPOT-100177,Premium Duo,14.99,PayPal,0,32
SUB-200178,SPOT-100178,Premium Individual,10.99,Credit Card,1,19
SUB-200179,SPOT-100179,Premium Individual,10.99,Credit Card,1,6
SUB-200180,SPOT-100180,Premium Student,5.99,Credit Card,1,17
SUB-200181,SPOT-100181,Free,0.0,None,0,15
SUB-200182,SPOT-100182,Premium Individual,10.99,PayPal,1,13
SUB-200183,SPOT-100183,Free,0.0,None,0,28
SUB-200184,SPOT-100184,Free,0.0,None,0,24
