user_id,age_group,gender,country,signup_date
SPOT-100000,25-34,Male,AR,2024-12-19
SPOT-100001,55+,Male,BR,2024-02-24
SPOT-100002,35-44,Female,US,2025-04-13
SPOT-100003,25-34,Female,ES,2024-03-07
SPOT-100004,18-24,Female,DE,2024-10-13
SPOT-100005,18-24,Male,BR,2025-01-21
SPOT-100006,18-24,Male,US,2024-03-12
SPOT-100007,45-54,Male,MX,2024-05-21
SPOT-100008,25-34,Male,DE,2025-05-21
SPOT-100009,35-44,Male,GB,2026-03-13
SPOT-100010,18-24,Female,AU,2024-01-02
SPOT-100011,55+,Female,DE,2024-01-29
SPOT-100012,35-44,Female,MX,2024-04-25
SPOT-100013,18-24,Male,MX,2025-01-30
SPOT-100014,18-24,Male,US,2025-07-16
SPOT-100015,18-24,Female,ES,2025-12-17
SPOT-100016,18-24,Female,GB,2026-01-02
SPOT-100017,25-34,Female,AR,2024-05-20
SPOT-100018,25-34,Female,MX,2024-11-16
SPOT-100019,18-24,Female,GB,2026-06-01
SPOT-100020,25-34,Male,GB,2024-07-02
SPOT-100021,18-24,Male,ES,2023-11-23
SPOT-100022,18-24,Female,BR,2024-06-27
SPOT-100023,25-34,Male,MX,2025-06-25
SPOT-100024,25-34,Male,US,2023-11-17
SPOT-100025,35-44,Male,AR,2023-11-16
SPOT-100026,18-24,Male,GB,2024-03-25
SPOT-100027,25-34,Female,MX,2024-04-23
SPOT-100028,25-34,Male,US,2024-11-13
SPOT-100029,18-24,Male,GB,2024-03-30
SPOT-100030,25-34,Female,MX,2025-11-11
SPOT-100031,18-24,Female,GB,2026-05-26
SPOT-100032,18-24,Female,FR,2024-04-06
SPOT-100033,45-54,Female,MX,2024-07-11
SPOT-100034,55+,Female,FR,2025-01-13
SPOT-100035,35-44,Female,DE,2025-09-03
SPOT-100036,18-24,Male,US,2024-09-20
SPOT-100037,18-24,Male,BR,2025-08-18
SPOT-100038,25-34,Female,GB,2025-07-27
SPOT-100039,25-34,Female,DE,2025-11-12
SPOT-100040,18-24,Female,MX,2025-07-09
SPOT-100041,25-34,Female,ES,2026-02-25
SPOT-100042,18-24,Female,US,2025-06-04
SPOT-100043,45-54,Male,ES,2025-01-28
SPOT-100044,18-24,Male,BR,2023-12-04
SPOT-100045,25-34,Male,BR,2024-01-26
SPOT-100046,18-24,Male,GB,2026-03-16
SPOT-100047,25-34,Male,DE,2025-07-18
SPOT-100048,25-34,Male,ES,2026-03-07
SPOT-100049,18-24,Female,ES,2025-06-11
SPOT-100050,55+,Female,DE,2025-05-30
SPOT-100051,35-44,Female,MX,2025-12-17
SPOT-100052,45-54,Male,GB,2025-11-29
SPOT-100053,45-54,Male,AR,2024-10-16
SPOT-100054,25-34,Female,MX,2026-05-11
SPOT-100055,45-54,Male,ES,2024-09-26
SPOT-100056,18-24,Female,BR,2025-06-17
SPOT-100057,18-24,Male,US,2025-06-18
SPOT-100058,18-24,Female,DE,2024-12-31
SPOT-100059,18-24,Male,DE,2025-03-17
SPOT-100060,25-34,Male,GB,2026-02-14
SPOT-100061,18-24,Male,US,2024-02-27
SPOT-100062,35-44,Female,ES,2025-05-29
SPOT-100063,25-34,Male,US,2024-04-23
